Subj #,,Win 1_2,Win 3_4,Win 5_6,Win 7_8,Win 9_10,,Spr 1_2,Spr 3_4,Spr 5_6,Spr 7-8,Spr 9-10,,CPD_Q1,CPD_Q2,CPD_Q3
1,,Took the time to do some meal prep last night (experimented and ended up with a very cheesy alfredo pasta!),I spent time before work to do an easy 20-minute yoga flow since I’ve been spending a lot of time sitting at my desk and I am trying to get back into a routine for exercise!,Took a nap before work since my team this week was part of the first subteam.,Called a friend who happened to be on her lunch break since time zone differences often make finding time difficult.,Took a walk outside to take in some of the rare sun that was shining!,,Had a very busy weekend with my sister visiting town so I've decided to take today to catch up on things I'm behind in and to take a nap.,Spent some time on the phone catching up with my best friend during her lunch break. Since we are both in grad school on opposite ends of the country it can be difficult to find time to virtually spend time together so we take what little time we can!,Gave myself time to lie down on the couch and mindlessly scroll through social media and catch up on what my friends have been up to!,"Took a nap after class and ended up sleeping too long, but it was much needed.",Set aside and spent some time at night after studying to decompress by watching an episode of a show I’ve been saving. ,,"The class time devoted to health and wellness and self-care has had a positive effect on me. While I am fairly good at finding pockets of time for self-care myself, class sessions such as the mentor team discussions provided a space for me to engage in something I normally wouldn’t think to do, such as introducing me to new games to play in a group setting. This in particular is enjoyable in that I get to socialize with classmates I don’t normally extensively converse or hang out with.","During my gap years I gained a lot of insight around recognizing what kind of self-care I need at the moment which is how I chose between the options presented on the Choice Board. Influencing my decision was what was happening around me. If I was feeling overwhelmed between school and work I was more likely to rest and take some time alone, but on the days I had more energy I’d try to reach out and connect with others.","I believe self-care to be really important in living a healthy and balanced lifestyle, so having time to spend on self-care built into my schedule helped to ease some of my stress for at least the day."
2,,1. Select one of the activities that resonates with you: Rest/Relax 2. Document your participation: I decided to spend my 20 minutes of self-care by relaxing and listening to music.,"One of the activities that I chose from the Choice Board was relax. I find cleaning and organizing to be relaxing and a good stress reliever for me, so I decided to organize my room, file away emails and documents on my computer all while listening to music. I think that doing this helps me feel like I have my life somewhat put together and it allows me to be more productive with my work when I'm sitting in a clean space!","One of the activities that I chose for self-care was social connectedness. I was missing my older brother and his wife since they moved out of the family home, so I drove up to Marysville to visit and spend some time with them. It was nice because I hadn't seen them in a while.","For my self care, I went on a walk and listened to music!",One of the activities that I chose for health/wellness was rest and relax. I spent time watching TV with my parents. We watched a documentary on time travel and black holes. It was really interesting! ,,"I decided to spend my self care time by going on a run. I try to either go on runs or walks at least every other day if not daily. I find that running helps me release stress and frustration. Not only that, but it's also good for my health, so it's a win-win!","For my self care, I decided to find new music to listen to! I find listening to music to be very relaxing and it also helps motivate me to get things done.",I went on a run!,I watched TV with my dad!,"I painted my nails! This is something I really enjoy doing but haven't done since last year, so I'm happy that I was able to find some time to do this.",,The class time devoted to health and wellness and self-care really helped me to spend time doing what I enjoy and having class time devoted to this made me realize how important self-care is to ensure success in my personal and professional life. I really appreciate the mentor team discussions because it makes me realize that I’m not alone and that I have the support from my mentor and classmates to help me do well in the program. ,"The way I decided which self-care to choose was based on how much time I had and the simplicity of the activity. If I had more time, I would choose to create something, such as working on a painting. If I had less time, I would choose exercise or hanging out with my family. If I had no time at all, I would choose to listen to music while doing homework or running errands.",The time spent on my choice of self-care allowed me to relax my mind and step away from work and school responsibilities for a short time.
3,,"Today, I cooked myself lunch and it was delicious! ",I took a walk around campus with my roommate to get some exercise and fresh air,I listened to some of my favorite artists while cooking ,"Today, I spent my break eating good food and watching an episode of Ozark!","Today, I spent some of my time watching a show on Netflix with my roommate. It was nice being able to spend some quality time with her.",,I took the time to finish building my baby Yoda lego statue while playing my favorite artists videos on Youtube in the background. ,I took the time to reach out and talk to one of my close friends back home because it had been a while since I talked to her one on one. It was nice catching up with her for a bit. ,This week I spent at least 20 minutes reading a book that I had found online as a break from studying. ,This week I spent about an hour getting dinner with my friends! Much needed study break! ,"This weekend, I went shopping with my friend and had dinner together. Then we also met up with other friends after and spent some quality time together!",,"The class time has reminded me on the importance of self care and that there are also people in the class who are going through the same thing and that none of us are alone. Additionally, it has shown me that even if it is not a long time to do the things that will help me relax, even a little bit of time helps and goes a long way. I think that during this time, I have done more self care than I usually do, especially mentally, which is nice. ",To decide on what to do it would mostly depend on my mood and what I felt like doing at the moment. Most of the time I would do the same things because its something I enjoyed and did not mind doing it multiple times. The weather also influenced my decision to some extent because if it was raining or too gloomy I would choose to do something more relaxing and not go outside. ,"The time spent on my choice of self care affected me in a positive way because it would be something I enjoyed and part of me would want to continue doing it, but I knew I had to get work done as well. But it was also a nice break from thing, sort of like a reset button to get me energized again. "
4,,I worked on my Paint by Diamond piece., I worked on more of the Paint by Diamonds.,I worked on my Paint by Diamond while listening to classical music.,I worked on my Paint by Diamond while listening to music. ,I grabbed lunch with a friend.,,I started a new Asian drama (tv show) called The Oath of Love.,I took a walk around my neighborhood while listening to music.,"I took a walk to my neighborhood park , sat on the grass and watched a video in the sun.",I went to go visit my high school teachers.,I went out and had lunch with my brother. ,,The class time that was devoted to health and wellness and self-care was nice to have because it allowed me to have time away from school work and to relax for a little before having to stress again,"For me, it depends on the weather à if it was nice out, then I would go out to take a walk or sit in the park; if it was raining or cold out, then I would watch Asian dramas or continue to work on my paint my diamond. If I didn’t have any homework or exams coming up, then I would get lunch with my boyfriend or friends from undergraduate. ","It made me more relaxed and less stressed about the upcoming future such as exams and work. For that moment, I don’t have to think about school or work and only think about myself."
5,,I took a 20 minutes walk from the train station to my apartment. normally I usually take a bus. It was very refreshing.,"I met up with my friends for coffee and it was the best experience of the week. we connected, laughed, encouraged each other and reminisced our past. ",I soaked in the bathtub for an hour with relaxing music in the background. I was energized ❤️,I walked around the neighborhood for thirty minutes. The fresh air was amazing. Thankyou for always reminding us to do selfcare,I tried to using  peloton in our apartment building in preparation to riding my bike in summer and i did it for 15 minutes on first day and was out of breath. Today I did it for 35 minutes and the feeling was amazing. I have more energy! ,,"Yesterday was my birthday and my boyfriend planned a bowling night with my friend without telling me and i was so happy whe I saw all my friends there , in the middle of the week. We spent time together laughing and having fun and made memories. I felt loved and cared for. ",I am increasing my cardio work out in the apartment gym . Am lasting 30mins on the peloton. I do it monday Wednesday and Friday as self care. Thank you for this continuing progress in self care.!,I went to watch movie at ipic theatre in redmond for my friends birthday. It was very interesting because you order food and drinks as you are watching your favorite movie. I enjoyed the time with her and the service there. It felt like special selfcare treatment.,I took a 30 minutes walk in my new neighborhood and there’s a very beautiful creek with trees and birds chirping. Usually this is the background I put on when studying and now walking in it is so peaceful. And the weather is just perfect today! ,It was a nice day today and my friend and I took her kids to the park to play. It was amazing to be out like that after being unwell and in the house for a whole week. I feel energized and more focused.,,I have learnt to listen to people without interrupting them and have learnt to fight the urge to give a relating scene from my life. I try to put myself in the persons shoes and imagine how they would feel and how I would like to be treated if I were on the opposite side of the equation.,This is because I wanted to connect with myself more emotionally and un wide away from my computer,"This has been a lifeline because I always felt like I was wasting time if I walked away from my computer. I have realized that every time I hang out with my friends or ride the peloton, I come back very fresh on my computer and actually get more productive."
6,,"Currently, I have been way too stressed to focus on myself, especially because I was extremely sick last week and I could not submit any of my assignments, they all piled up for this week. However, last week I spend time focusing on getting rest, sleep, and hydrating so I can get better again.","The activity that resonates with me is Connecting to the environment, I spent the 20 mins of my time relaxing, staring out of the window while I drank coffee so I feel refreshed and I can get back to work and catch up on my assignments after class. ",I Focused on Resilience and growth mindset. I took this time to catch up some assignments such as  completing my CORE question for the week and doing the midpoint attestation. I did this while I had coffee and spend the rest of the time planning for the mentor meeting. I used this time to be productive so I can relieve some stress from my day.  ,"This week I focused on Resilience and coping skills Last week I had a very stressful midterm and WIP on Wednesday, I did not get enough sleep plus I work on weekends, today I slept in until 10:00 am. I spent some time just drinking coffee and staring outside the window, browsing through my phone so I can take that little time for myself before I start my work/studies.","Today, I focused on a growth mindset and rest relax. I am extremely stressed about the finals, and I have been too anxious to sleep at night. I used this time to catch up on sleep, I had a really good healthy breakfast. I am starting off the day with a healthy mindset so I can study the rest of the day without feeling burnt out or sleep-deprived. ",,"Resilience Coping Skills - I woke up and ate a really good breakfast, took a shower and I am ready to finish my work for the day and try to get as much work done as possible so I won't repeat what happened last quarter. ","I chose to practice reset and relax. This weekend I worked both days and after that I know I have a lot of work and I know I should study, but it was a long day at work. I just chose to hang out with my friends just relax and talk to them and catch up. I need to keep my mental health before anything and prevent myself from burning out. My goal for this quarter is to try my best to not get burnt out and give my mental health first priority. ",I sat on my balcony and just enjoyed my coffee for one hour in the warm weather. We rarely have warm weather and I really appreciate it when we do. ,"I focused on health and well-being. I utilized this time to drink coffee and relax. I have been feeling a little under the weather this week, I needed this time to relax and rejuvenate to get ready to work for the rest of the day.  ",n/a,,"Ans: Over the past three quarters the time for health and wellness has been so helpful and much required. 
I utilized it for many purposes. For nature connection, for development and growth, to rest and relax. It was a great break from the fast stress full and always busy life that we all have. ","Ans: My decisions for participating in the self-care module steamed from how I was feeling that day/week. I had a midterm and I needed to be productive, I used that time to catch up on assignments and I focused on the growth mindset aspect of the choice board.
When I was burnt out and I needed the break, I used it to enjoy my cup of coffee or cook breakfast/lunch, or any other activity that calmed me. ","Ans: Each quarter, I learned how to utilize my time better. Occasionally there are moments when I feel like I am doing something wrong when I take a little time for myself. I realized I need days where I do “nothing” productive and just relax as I do not want to be burnt out. This has a better impact on my mental health this quarter. I feel motivated to study for my midterms. "
7,,"Since we started school completely virtually, I feel like I have not been very active and felt a bit down. So, I have made changes to my day to day routine by starting the day with a quick run around my apartment building. I have also taken the time to socialize with friends and family so I don't feel so isolated all day long. ","Given that I have been sick for the past two weeks, I have chosen to complete the Self-connectedness activity. I wrote down on my planner a brief summary of changes that I plan to make this quarter to improve my health and remind myself to take some time off throughout the week to go for a walk, exercise, or do an activity that I enjoy like playing basketball. ","Social connectedness:I felted like I needed a break from school today. A lot going on in my head and I felt like I haven't been very social lately because all I do is study. Today, I spent some time to FaceTime my grandmother and a few other family/friends just to have a nice conversation. I also asked a friend if they wanted to go out and have lunch and maybe get a drink while watching sports. I felt like i really needed it since the quarter has been a bit of a struggle. ",Create: I spent some time learning how to cook a few different afghan dishes that my mom would make at home. I think it helped a lot just to relax and place my focus on something different other than school to release some stress. ,"For this assignment, I chose to do a rest and relax by doing meditation for about 20 to 30 minutes. I sat down and on empty dark room and closed my eyes for as long as possible and try to focus on relaxing muscles in different areas of the body. I used some of the techniques that was taught to us in the beginning of the pharmacy program.",,I spent some time this past few days going by the beach that is very close to my house. I think I have gotten so caught up with school and work that I have forgotten that there is a beach 5 minutes from where I currently live. I walk around for a bit and enjoy the sun before I get back to school work and I am planning on going later today as well. ,"Because I didn't have to drive this morning to get to school, I spent the time going to the gym that is near my house to get some exercise early in the day. I feel a bit relaxed and more focused.","Reflection: I spent a little bit of time reflecting on how school is going so far and how I can improve for the remainder of the quarter. As the last quarter of our first year approaches, the number of exams, projects, and other school related projects can be overwhelming. It is always good to plan ahead and try to stick to that plan to minimize stress. ",I spent some time reflecting on my progress as well as thinking about plans for the summer to expand my knowledge and expertise in the field of pharmacy. Having a set plan to put in motion once summer starts has help alleviate some of the stress I have built about how to maximize my summer break. ,I walked for about 15-20 minutes around the neighborhood to help reduce stress and increase mental focus. ,,The mentor team sessions have been the most effective way for me to reflect on ways to improve my skills or to reflect on my progress as a future practitioner. In addition to having a good mindset to improve my skills in areas of compassion and growth as an individual.,"I used to spend a lot of time outdoors and always took the time to connect with nature. I found this very relaxing and it develop to be a coping mechanism for me. However, the weather in Seattle is not always good to spend time out in nature, so I have learned to plan when the sunny days are ahead of time to make plans to go for a walk at the park, go for a hike, or spend some time by the beach.",My choices of self-care has definitely helped improve my mood and overall wellbeing by making connections with my environment or resting to catch up on sleep. 
8,,I was having a really hard week and I met up with a friend for a walk on the Quad and I felt a lot better afterwards ,I started going to therapy this week! It was just the first session (my first session ever) but I am very hopeful.,I had improv rehearsal and it was the first time this quarter where everyone was present ,I'm getting lunch with my  dad!,I took some time to write a journal entry. At the start of fall quarter I was journaling every night but fell off of it as things got hectic- I'm trying to be on top of it again ,,I cleaned my room ,I went to Trader Joes!,"I've been struggling with anxiety lately, which is not something I've ever had to deal with in my life before. When we first started keeping track of wellness activities, I had just begun going to therapy. I went every week, and then every other week and now I am down to as needed because in a lot of ways my mental health has improved since the beginning of Winter quarter. Unfortunately constant anxiety has cropped up as a new symptom in the past few weeks and I'm thinking I may need more support than just talk therapy. My mom is on an insurance plan through her work and since I am still included on her insurance, I thankfully have access to some free psychiatry and life-coach resources. I took time to research those options and am currently finding time in my schedule to set up a session",Finished reading a really good book called The Midnight Library ,n/a,,"I appreciated being allowed the time to take care of ourselves. It enhanced the feeling that the professors are mindful of our wellbeings. I didn’t find myself going out of my way to do a self care activity for the assignment, but I do think the checking in with myself each day to ask if I had been taking care of myself was very beneficial. ","Most often, I would say I participated task in the categories: environmental in cleaning my space, physical in exercising, and social in meeting up with friends. I chose my activity based on my needs in the moment and the amount of time I was able to put into the task also affected my decision. ","I was very appreciative that the time to do the activity was built into class time. In this way, it wasn’t really an option to claim that we didn’t have time for self care. Checking in with myself to see how I was taking care of myself always felt nice. "
9,,I worked out at my local gym with two of my friends.,I worked out at the IMA.,I relaxed and watched some Netflix,I went for a walk around my neighborhood,Started watching a new TV show,,Hung out with my friends ,Took a nap,Went to the IMA to workout,Went for a run,Took a nap,,"I really liked having that time set aside to do something else. Also, playing some type of game in breakout rooms after class during the off week from the WIP site was pretty fun.",Deciding on the different modules just depened on how many assignments I had to complete that week and based off that I would pick whatever was the most convenient. ,It positively affected me and gave some time to relax or do something that got me away from schoolwork.
10,,"For my self-care, I decided to FaceTime a friend to catch up and experience social interaction.",I started a new Netflix show to balance my study-relaxation!,"Since the weather has been pretty nice, I got coffee and took a walk!",I walked to class and took in the scenery.,This week I worked out at the IMA for 1 hour.,,"I spent Saturday night with my best friend from high school, Erin. We caught up and enjoyed delicious mocktails while watching Bridgerton.","After a good conversation about naps, I remembered that I took many naps this week in between my study sessions to keep my sanity and mental health in check. Caught some good zzzz's!","For my wellness self-care, I am documenting our team session today. I really enjoyed Jen's paracord activity and found myself really relaxed (after I got out my initial frustration haha).","For my wellness, I decided to read for 20 minutes. I haven't sat down and enjoyed a book in a while, so it was nice getting get through a couple chapters before starting the school grind again!",I sat outside today near the water at South Canpus Center. Good views for dead week!,,"Mentor team meetings started last quarter and I have really appreciated them. Although, I don’t always have much to say, I liked being in a smaller group with people who I don’t talk to regularly. This brought in a lot of different ideas and perspectives. I remember there was a lesson on habits and another one on napping that gave me some new ideas on how I could improve my health and wellness. ","It depended on the week. Generally, I’m an introverted person and I prefer to have self-care time to myself. Most weeks, I took a nap or went on a walk. Sometimes, I choose to connecting with friends as myself care when I haven’t seen them in a while.","It has made me more productive! Before, I would study all day, every day. However, making the time for myself and mental health, it has been a lot easier to stay focused and engaged during studying!"
11,,"I connected with my environment by taking a walk around my neighborhood with my dog. I also always let him play with the other dogs we encountered, and it warms my heart to see him playing and waving fun with other dog friends.",I love connecting with the environment by enjoying the sunset. My husband and I took a half hour walk through Magnuson Park at sunset and I was able to take lots of good photos of the sun setting on rainier.,"I have been biking 4 miles to school and back every in person day. It feels so nice to be able to be back on campus again and exercising each way. It takes about 25 minutes each way and I love it, unless it’s raining, then it isn’t as relaxing.  ",n/a,n/a,,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,n/a
