Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.4439986142306669
75% Corpus,2,0.01,0.31,0.4441133678507784
75% Corpus,2,0.01,0.61,0.40542403956698186
75% Corpus,2,0.01,0.9099999999999999,0.39789977306392077
75% Corpus,2,0.01,symmetric,0.4054240395669819
75% Corpus,2,0.31,0.01,0.40307916271184535
75% Corpus,2,0.31,0.31,0.42269001816686413
75% Corpus,2,0.31,0.61,0.42781351592550976
75% Corpus,2,0.31,0.9099999999999999,0.4242647350676914
75% Corpus,2,0.31,symmetric,0.408022305184932
75% Corpus,2,0.61,0.01,0.42682253858498354
75% Corpus,2,0.61,0.31,0.4341510448695236
75% Corpus,2,0.61,0.61,0.41776794659558836
75% Corpus,2,0.61,0.9099999999999999,0.4151729325776311
75% Corpus,2,0.61,symmetric,0.41173260057691263
75% Corpus,2,0.9099999999999999,0.01,0.45263803277481607
75% Corpus,2,0.9099999999999999,0.31,0.44479657751921997
75% Corpus,2,0.9099999999999999,0.61,0.41776794659558825
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.4177520235040726
75% Corpus,2,0.9099999999999999,symmetric,0.42736867269369094
75% Corpus,2,symmetric,0.01,0.42269001816686413
75% Corpus,2,symmetric,0.31,0.4341510448695236
75% Corpus,2,symmetric,0.61,0.41776794659558836
75% Corpus,2,symmetric,0.9099999999999999,0.40927640324741665
75% Corpus,2,symmetric,symmetric,0.41786757716980455
75% Corpus,2,asymmetric,0.01,0.4412400589648731
75% Corpus,2,asymmetric,0.31,0.44451897581220157
75% Corpus,2,asymmetric,0.61,0.405406995597245
75% Corpus,2,asymmetric,0.9099999999999999,0.40668560012680904
75% Corpus,2,asymmetric,symmetric,0.4037690920876845
75% Corpus,3,0.01,0.01,0.4329798348974611
75% Corpus,3,0.01,0.31,0.44001617658450193
75% Corpus,3,0.01,0.61,0.4168641084377036
75% Corpus,3,0.01,0.9099999999999999,0.4250895635619649
75% Corpus,3,0.01,symmetric,0.4426550478504914
75% Corpus,3,0.31,0.01,0.41518655149893374
75% Corpus,3,0.31,0.31,0.44441262637830015
75% Corpus,3,0.31,0.61,0.42528951889613276
75% Corpus,3,0.31,0.9099999999999999,0.4572643356639383
75% Corpus,3,0.31,symmetric,0.4576566687129877
75% Corpus,3,0.61,0.01,0.428505130373867
75% Corpus,3,0.61,0.31,0.4389544722358823
75% Corpus,3,0.61,0.61,0.4739894577802975
75% Corpus,3,0.61,0.9099999999999999,0.4507287014839503
75% Corpus,3,0.61,symmetric,0.44411302914783785
75% Corpus,3,0.9099999999999999,0.01,0.4125120412617207
75% Corpus,3,0.9099999999999999,0.31,0.42151432609049594
75% Corpus,3,0.9099999999999999,0.61,0.45756156307690093
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.46570389859186134
75% Corpus,3,0.9099999999999999,symmetric,0.41167653427450634
75% Corpus,3,symmetric,0.01,0.4250946538504061
75% Corpus,3,symmetric,0.31,0.44725136487049433
75% Corpus,3,symmetric,0.61,0.45044137157761027
75% Corpus,3,symmetric,0.9099999999999999,0.45726433566393815
75% Corpus,3,symmetric,symmetric,0.4472513648704943
75% Corpus,3,asymmetric,0.01,0.4092765540229028
75% Corpus,3,asymmetric,0.31,0.4496613263759091
75% Corpus,3,asymmetric,0.61,0.3666825963192644
75% Corpus,3,asymmetric,0.9099999999999999,0.5675853357714252
75% Corpus,3,asymmetric,symmetric,0.4496613263759091
75% Corpus,4,0.01,0.01,0.4359155432338008
75% Corpus,4,0.01,0.31,0.41141414909853047
75% Corpus,4,0.01,0.61,0.430620409083131
75% Corpus,4,0.01,0.9099999999999999,0.48804444666767033
75% Corpus,4,0.01,symmetric,0.41141414909853047
75% Corpus,4,0.31,0.01,0.4116936339697425
75% Corpus,4,0.31,0.31,0.4022038524625267
75% Corpus,4,0.31,0.61,0.4733376588663413
75% Corpus,4,0.31,0.9099999999999999,0.5523499779924976
75% Corpus,4,0.31,symmetric,0.39288149039295106
75% Corpus,4,0.61,0.01,0.43106864069750594
75% Corpus,4,0.61,0.31,0.40472289827031704
75% Corpus,4,0.61,0.61,0.39925312158043896
75% Corpus,4,0.61,0.9099999999999999,0.43493241645450975
75% Corpus,4,0.61,symmetric,0.40593400749017416
75% Corpus,4,0.9099999999999999,0.01,0.4150207570966359
75% Corpus,4,0.9099999999999999,0.31,0.39226731261018566
75% Corpus,4,0.9099999999999999,0.61,0.42066504566571195
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.4430221064624499
75% Corpus,4,0.9099999999999999,symmetric,0.39916276261601213
75% Corpus,4,symmetric,0.01,0.41968221596766336
