Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,0.31,0.31,0.3603815849687284
75% Corpus,3,0.31,0.61,0.35139325582899406
75% Corpus,3,0.31,0.9099999999999999,0.36338003523208684
75% Corpus,3,0.31,symmetric,0.3603815849687284
75% Corpus,3,0.61,0.31,0.3404145157036105
75% Corpus,3,0.61,0.61,0.3455792345018746
75% Corpus,3,0.61,0.9099999999999999,0.35916262977450786
75% Corpus,3,0.61,symmetric,0.3275503125645957
75% Corpus,3,0.9099999999999999,0.31,0.3309702515678496
75% Corpus,3,0.9099999999999999,0.61,0.32242073270317856
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.32181286939211134
75% Corpus,3,0.9099999999999999,symmetric,0.3309702515678496
75% Corpus,3,symmetric,0.31,0.3603815849687284
75% Corpus,3,symmetric,0.61,0.3592871718638521
75% Corpus,3,symmetric,0.9099999999999999,0.3593434038001049
75% Corpus,3,0.31,0.31,0.3603815849687284
75% Corpus,3,0.31,0.61,0.35139325582899406
75% Corpus,3,0.31,0.9099999999999999,0.36584615335268666
75% Corpus,3,0.31,symmetric,0.3603815849687284
75% Corpus,3,0.61,0.31,0.3404145157036105
75% Corpus,3,0.61,0.61,0.3455792345018746
75% Corpus,3,0.61,0.9099999999999999,0.35916262977450786
75% Corpus,3,0.61,symmetric,0.3275503125645957
75% Corpus,3,0.9099999999999999,0.31,0.3309702515678496
75% Corpus,3,0.9099999999999999,0.61,0.32242073270317856
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.32181286939211134
75% Corpus,3,0.9099999999999999,symmetric,0.3309702515678496
75% Corpus,3,symmetric,0.31,0.3603815849687284
75% Corpus,3,symmetric,0.61,0.3592871718638521
75% Corpus,3,symmetric,0.9099999999999999,0.3593434038001049
75% Corpus,3,symmetric,symmetric,0.36038158496872846
75% Corpus,3,asymmetric,0.31,0.38836477771175076
75% Corpus,3,asymmetric,0.61,0.43801640442227346
75% Corpus,3,asymmetric,0.9099999999999999,0.4900430573129486
75% Corpus,3,asymmetric,symmetric,0.36358835690051433
75% Corpus,4,0.31,0.31,0.32123343323493614
75% Corpus,4,0.31,0.61,0.31814283642973845
75% Corpus,4,0.31,0.9099999999999999,0.3233148535191701
75% Corpus,4,0.31,symmetric,0.33020833397346616
75% Corpus,4,0.61,0.31,0.3190806180035072
75% Corpus,4,0.61,0.61,0.2752942751461675
75% Corpus,4,0.61,0.9099999999999999,0.286579848036764
75% Corpus,4,0.61,symmetric,0.3190806180035071
75% Corpus,4,0.9099999999999999,0.31,0.31325916919292984
75% Corpus,4,0.9099999999999999,0.61,0.3338732036620896
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.340720842727179
75% Corpus,4,0.9099999999999999,symmetric,0.3132551310695226
75% Corpus,4,symmetric,0.31,0.3190408174183646
75% Corpus,4,symmetric,0.61,0.29283131619493574
75% Corpus,4,symmetric,0.9099999999999999,0.318819575064111
75% Corpus,4,symmetric,symmetric,0.31481090961110103
75% Corpus,4,asymmetric,0.31,0.3639069267537742
75% Corpus,4,asymmetric,0.61,0.4516044986999188
75% Corpus,4,asymmetric,0.9099999999999999,0.5338752372205614
75% Corpus,4,asymmetric,symmetric,0.36718764903629236
75% Corpus,5,0.31,0.31,0.295764842753416
75% Corpus,5,0.31,0.61,0.28785233578690483
75% Corpus,5,0.31,0.9099999999999999,0.29304134782531055
75% Corpus,5,0.31,symmetric,0.29411371825547816
75% Corpus,5,0.61,0.31,0.32278467947069733
75% Corpus,5,0.61,0.61,0.2872073479233411
75% Corpus,5,0.61,0.9099999999999999,0.3055152049705344
75% Corpus,5,0.61,symmetric,0.3376005793103575
75% Corpus,5,0.9099999999999999,0.31,0.362826369361367
75% Corpus,5,0.9099999999999999,0.61,0.3385629454729048
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.37278175225396715
75% Corpus,5,0.9099999999999999,symmetric,0.33474306305134255
75% Corpus,5,symmetric,0.31,0.31139124741796465
75% Corpus,5,symmetric,0.61,0.29965182159748993
75% Corpus,5,symmetric,0.9099999999999999,0.31457553762279006
75% Corpus,5,symmetric,symmetric,0.29930854371042825
75% Corpus,5,asymmetric,0.31,0.35967193561642824
75% Corpus,5,asymmetric,0.61,0.4757575936923395
75% Corpus,5,asymmetric,0.9099999999999999,0.449865329688128
75% Corpus,5,asymmetric,symmetric,0.34480085771399294
75% Corpus,6,0.31,0.31,0.3579827956734047
75% Corpus,6,0.31,0.61,0.357838554863362
75% Corpus,6,0.31,0.9099999999999999,0.37246185433451456
75% Corpus,6,0.31,symmetric,0.3295613196134127
75% Corpus,6,0.61,0.31,0.31838727565094777
75% Corpus,6,0.61,0.61,0.3662045316262919
75% Corpus,6,0.61,0.9099999999999999,0.41990828874248765
75% Corpus,6,0.61,symmetric,0.3209738056782308
75% Corpus,6,0.9099999999999999,0.31,0.36496930459094235
75% Corpus,6,0.9099999999999999,0.61,0.3895983067851761
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.3941412836196358
75% Corpus,6,0.9099999999999999,symmetric,0.32652115485714506
75% Corpus,6,symmetric,0.31,0.34338894509122847
75% Corpus,6,symmetric,0.61,0.33946437394185786
75% Corpus,6,symmetric,0.9099999999999999,0.3471837236978193
75% Corpus,6,symmetric,symmetric,0.3471855899866549
75% Corpus,6,asymmetric,0.31,0.3986924563193079
75% Corpus,6,asymmetric,0.61,0.3256241282302886
75% Corpus,6,asymmetric,0.9099999999999999,0.5603726124776286
